Point,Northing,Easting,Elevation
T3-050,7192288.725,460650.345,132.785
T3-053,7192290.562,460647.684,132.835
T3-056,7192291.316,460644.804,132.927
T3-059,7192291.689,460641.749,132.767
T3-062,7192293.113,460639.321,132.81
T3-065,7192294.248,460636.656,133.141
T3-068,7192295.432,460633.85,133.195
T3-071,7192296.434,460631.094,133.138
T3-074,7192297.368,460628.33,133.182
T3-077,7192298.798,460625.847,133.152
T3-080,7192299.349,460622.859,133.226
T3-083,7192302.548,460620.498,132.893
T3-086,7192303.942,460618.011,133.18
T3-089,7192304.216,460615.126,133.254
T3-092,7192304.775,460612.247,133.229
T3-095,7192305.498,460609.431,133.335
T3-098,7192305.686,460606.48,133.269
T3-101,7192306.243,460603.595,133.183
T3-104,7192306.631,460600.699,133.607
T3-107,7192307.378,460597.819,133.761
T3-110,7192307.71,460595.01,133.586
T3-113,7192307.745,460592.039,133.716
T3-116,7192307.836,460588.876,133.686
T3-119,7192308.812,460585.988,133.784
T3-122,7192309.847,460583.198,133.772
T3-125,7192311.212,460580.502,133.89
T3-128,7192311.41,460577.551,133.925
T3-131,7192311.905,460574.676,134.018
T3-134,7192312.764,460571.624,134.164
T3-137,7192313.148,460568.974,134.155
T3-140,7192313.968,460565.906,134.234
T3-143,7192315.045,460563.011,134.233
T3-146,7192316.098,460560.177,134.323
T3-149,7192317.225,460557.37,134.357
